Bank Name,Ticker,conml,Indeed Link,BHC_Folder_ID
1st source corporation,SRCE,1st Source Corp,https://www.indeed.com/cmp/1st-Source-Bank/reviews,124
access national corporation,,Access National Corp,https://www.indeed.com/cmp/Access-National-Bank/reviews,167
acnb corporation,,ACNB Corp,https://www.indeed.com/cmp/Acnb/reviews,176
alabama national bancorporation,,Alabama National BanCorporation,,247
ally financial inc.,,Ally Financial Inc,https://www.indeed.com/cmp/Ally-Financial/reviews,14
"amcore financial, inc.",,Amcore Financial Inc,https://www.indeed.com/cmp/Amcore/reviews,239
amegy corporation,,Amegy Bancorporation Inc,https://www.indeed.com/cmp/Amegy-Bank/reviews,270
american express company,,American Express Co,https://www.indeed.com/cmp/American-Express/reviews,15
american national bankshares inc.,,American National Bankshares Inc,https://www.indeed.com/cmp/American-National-Bank/reviews,161
ameris bancorp,ABCB,Ameris Bancorp,https://www.indeed.com/cmp/Ameris-Bank/reviews,110
ames national corporation,,Ames National Corp,https://www.indeed.com/cmp/Ames-National-Corporation/reviews,168
amsouth bancorporation,,AmSouth Bancorporation,,267
"appalachian bancshares, inc.",,Appalachian Bancshares Inc,,234
arrow financial corporation,,Arrow Financial Corp,"https://www.indeed.com/cmp/Arrow-Financial-Services,-LLC/reviews",147
associated banc-corp,ASB,Associated Banc-Corp,https://www.indeed.com/cmp/Associated-Bank/reviews,40
"banc of california, inc.",,Banc of California Inc,https://www.indeed.com/cmp/Banc-of-California/reviews,79
bancfirst corporation,BANF,BancFirst Corp,https://www.indeed.com/cmp/Bancfirst/reviews,108
"bancorpsouth, inc.",BXS,BancorpSouth Inc.,https://www.indeed.com/cmp/Bancorpsouth-Bank/reviews,67
"banctrust financial group, inc.",,BancTrust Financial Group Inc,,205
bancwest corporation,,,,181
bank of america corporation,BAC,Bank of America Corp,https://www.indeed.com/cmp/Bank-of-America/reviews,2
bank of commerce holdings,,Bank of Commerce Holdings,https://www.indeed.com/cmp/Bank-of-Commerce/reviews,177
bank of hawaii corporation,BOH,Bank of Hawaii Corp,https://www.indeed.com/cmp/Bank-of-Hawaii/reviews,64
"bank of kentucky financial corporation, the",,Bank of Kentucky Financial Corp,https://www.indeed.com/cmp/Bank-of-Kentucky/reviews,193
bank of marin bancorp,,Bank of Marin Bancorp,https://www.indeed.com/cmp/Bank-of-Marin/reviews,154
"bank of new york company, inc., the",,Bank of New York Mellon Corp (The),https://www.indeed.com/cmp/Bank-of-New-York-Melon/reviews,254
"bank of new york mellon corporation, the",,Bank of New York Mellon Corp (The),https://www.indeed.com/cmp/Bank-of-New-York-Melon/reviews,10
bank of the ozarks inc,,Bank of the Ozarks,https://www.indeed.com/cmp/Bank-of-the-Ozarks/reviews,60
bank one corporation,,Bank One Corp,https://www.indeed.com/cmp/Bank-One/reviews,284
bankfinancial corporation,,BankFinancial Corp,https://www.indeed.com/cmp/Bankfinancial/reviews,164
"bankunited, inc.",BKU,BankUnited Inc,https://www.indeed.com/cmp/Bankunited/reviews,42
banner corporation,BANR,Banner Corp,https://www.indeed.com/cmp/Banner-Bank/reviews,84
bb&t corporation,BBT,BB&T Corp,https://www.indeed.com/cmp/Bb&T/reviews,12
"bbva compass bancshares, inc.",,BBVA Compass Bancshares Inc,https://www.indeed.com/cmp/Bbva-Compass-Bank/reviews,25
"beneficial bancorp, inc.",BNCL,Beneficial Bancorp Inc,https://www.indeed.com/cmp/Beneficial-Bank/reviews,122
berkshire bancorp inc.,,Berkshire Bancorp Inc,https://www.indeed.com/cmp/Berkshire-Bank/reviews,252
"berkshire hills bancorp, inc",,Berkshire Hills Bancorp Inc,,89
bnc bancorp,BNCN,BNC Bancorp,https://www.indeed.com/cmp/Bank-of-North-Carolina/reviews,105
bok financial corporation,BOKF,BOK Financial Corp,https://www.indeed.com/cmp/Bok-Financial/reviews,35
"boston private financial holdings, inc.",BPFH,Boston Private Financial Holdings Inc,https://www.indeed.com/cmp/Boston-Private-Bank-&-Trust/reviews; https://www.indeed.com/cmp/Boston-Private-Bank/reviews; https://www.indeed.com/cmp/Boston-Private-Bank-&-Trust-Company/reviews,102
"brookline bancorp, inc.",,Brookline Bancorp Inc,https://www.indeed.com/cmp/Brookline-Bank/reviews,116
bsb bancorp inc.,,BSB Bancorp Inc,,153
cadence financial corporation,,Cadence Financial Corp,https://www.indeed.com/cmp/Cadence-Bank/reviews,221
camden national corporation,,Camden National Corp,https://www.indeed.com/cmp/Camden-National-Bank/reviews,140
capital bank corporation,,Capital Bank Corp,https://www.indeed.com/cmp/Capital-Bank/reviews,222
